	Exigl1_AssemblyScaffolds.fasta
GF00000091	scaffold_1, scaffold_820, scaffold_1238, scaffold_1265, scaffold_1494
GF00000092	scaffold_63, scaffold_52, scaffold_740, scaffold_791, scaffold_1388
GF00000093	scaffold_153, scaffold_346, scaffold_607, scaffold_642, scaffold_1322
GF00000094	scaffold_206, scaffold_560, scaffold_868, scaffold_823, scaffold_929
GF00000095	scaffold_48, scaffold_212, scaffold_225, scaffold_863, scaffold_1468
GF00000096	scaffold_13, scaffold_386, scaffold_1124, scaffold_822, scaffold_1579
GF00000097	scaffold_277, scaffold_446, scaffold_345, scaffold_685, scaffold_1499
GF00000098	scaffold_85, scaffold_308, scaffold_715, scaffold_1045, scaffold_1157
GF00000099	scaffold_399, scaffold_337, scaffold_615, scaffold_858, scaffold_1139
GF00000100	scaffold_33, scaffold_425, scaffold_419, scaffold_804, scaffold_839
GF00000101	scaffold_84, scaffold_217, scaffold_499, scaffold_468, scaffold_647
GF00000102	scaffold_373, scaffold_447, scaffold_984, scaffold_873, scaffold_1291
GF00000103	scaffold_59, scaffold_1051, scaffold_1198, scaffold_1229, scaffold_1714
GF00000104	scaffold_64, scaffold_184, scaffold_252, scaffold_663, scaffold_1063
GF00000105	scaffold_54, scaffold_730, scaffold_969, scaffold_1061, scaffold_1096
GF00000106	scaffold_130, scaffold_520, scaffold_859, scaffold_899, scaffold_1024
GF00000107	scaffold_125, scaffold_324, scaffold_313, scaffold_534, scaffold_766
GF00000108	scaffold_241, scaffold_365, scaffold_403, scaffold_996, scaffold_1177
GF00000109	scaffold_193, scaffold_421, scaffold_412, scaffold_675, scaffold_744
GF00000110	scaffold_272, scaffold_739, scaffold_747, scaffold_926, scaffold_1220
GF00000111	scaffold_401, scaffold_456, scaffold_581, scaffold_374, scaffold_1082
GF00000112	scaffold_266, scaffold_424, scaffold_745, scaffold_995, scaffold_1187
GF00000113	scaffold_310, scaffold_232, scaffold_385, scaffold_1079, scaffold_1654
GF00000114	scaffold_284, scaffold_457, scaffold_454, scaffold_711, scaffold_1012
GF00000115	scaffold_462, scaffold_990, scaffold_1136, scaffold_1351, scaffold_1266
GF00000116	scaffold_330, scaffold_808, scaffold_881, scaffold_1091, scaffold_1129
GF00000117	scaffold_644, scaffold_1439, scaffold_1691, scaffold_1343, scaffold_1533
GF00000118	scaffold_8, scaffold_857, scaffold_1190, scaffold_1336
GF00000119	scaffold_10, scaffold_39, scaffold_236, scaffold_587
GF00000120	scaffold_247, scaffold_789, scaffold_1498, scaffold_1368
GF00000121	scaffold_38, scaffold_606, scaffold_1356, scaffold_1694
GF00000122	scaffold_276, scaffold_350, scaffold_1111, scaffold_1123
GF00000123	scaffold_312, scaffold_57, scaffold_452, scaffold_580
GF00000124	scaffold_75, scaffold_177, scaffold_1159, scaffold_1224
GF00000125	scaffold_47, scaffold_349, scaffold_518, scaffold_963
GF00000126	scaffold_31, scaffold_886, scaffold_892, scaffold_949
GF00000127	scaffold_98, scaffold_110, scaffold_565, scaffold_481
GF00000128	scaffold_161, scaffold_154, scaffold_586, scaffold_939
GF00000129	scaffold_67, scaffold_601, scaffold_861, scaffold_809
GF00000130	scaffold_303, scaffold_242, scaffold_713, scaffold_625
GF00000131	scaffold_88, scaffold_1208, scaffold_1214, scaffold_1595
GF00000132	scaffold_152, scaffold_287, scaffold_505, scaffold_1074
GF00000133	scaffold_243, scaffold_273, scaffold_727, scaffold_763
GF00000134	scaffold_261, scaffold_627, scaffold_388, scaffold_1021
GF00000135	scaffold_371, scaffold_871, scaffold_988, scaffold_1607
GF00000136	scaffold_220, scaffold_442, scaffold_619, scaffold_967
GF00000137	scaffold_209, scaffold_570, scaffold_840, scaffold_1134
GF00000138	scaffold_216, scaffold_1496, scaffold_1550, scaffold_1578
GF00000139	scaffold_455, scaffold_561, scaffold_698, scaffold_1715
GF00000140	scaffold_506, scaffold_422, scaffold_682, scaffold_1072
GF00000141	scaffold_256, scaffold_356, scaffold_904, scaffold_816
GF00000142	scaffold_199, scaffold_1065, scaffold_1163, scaffold_1701
GF00000143	scaffold_555, scaffold_296, scaffold_460, scaffold_1018
